latitude,longitude
49.43814,11.117565
49.438233,11.117296
49.438346,11.116884
49.438471,11.116356
49.438509,11.116188
49.438562,11.11596
49.438592,11.115836
49.438692,11.115414
49.438776,11.11505
49.438865,11.114704
49.438946,11.114433
49.438989,11.114305
49.439131,11.113899
49.439216,11.113668
49.439313,11.113378
49.439387,11.113148
49.439471,11.112899
49.439608,11.112492
49.439645,11.112393
49.439701,11.112249
49.439752,11.112123
49.439937,11.111664
49.439974,11.111568
49.439974,11.111568
49.439974,11.111568
49.440353,11.111873
49.440585,11.112108
49.440614,11.112137
49.440682,11.112205
49.440853,11.112366
49.44102,11.112485
49.441049,11.112506
49.441129,11.112546
49.441199,11.112539
49.441302,11.112474
49.441397,11.112394
49.441623,11.112191
49.44168,11.112138
49.441941,11.111918
49.442078,11.111796
49.442109,11.111767
49.44215,11.111729
49.44215,11.111729
49.44215,11.111729
49.44215,11.111729
49.442311,11.111579
49.442542,11.111364
49.442613,11.111315
49.442765,11.11118
49.442934,11.110971
49.443025,11.110838
49.443244,11.110516
49.443272,11.110476
49.44335,11.11036
49.443413,11.110243
49.44353,11.110023
49.44353,11.110023
49.44353,11.110023
49.43814,11.117565
49.438233,11.117296
49.438346,11.116884
49.438471,11.116356
49.438509,11.116188
49.438562,11.11596
49.438592,11.115836
49.438692,11.115414
49.438776,11.11505
49.438865,11.114704
49.438946,11.114433
